ID_OURO,hash_titulo,categoria,Label_Sentimento,Indice_Sentimento,Score_Confianca
AMP0001,46d4c03f331c06ffdfc94db91ab20a8c9569b4b25cad86c6af8fb75902f08b9d,CAT7_Macro_Energia,Negative,-0.3204034268856048,0.3204034268856048
AMP0002,78d3924214e82e7a85546e7e4e19dd9e342e6bf188e79f245bc2ae95d91f57d9,CAT1_Empresa,Positive,0.2935284376144409,0.2935284376144409
AMP0003,852d601b9b4f76b441b8e929a543a9cc0da362cac2a97ce33923cd2c68a153e4,CAT7_Macro_Energia,Neutral,0.0,0.3164246380329132
AMP0004,993a42289797d321dfc500ed9658a9230dc56695af6e6402b277a163427cc011,CAT1_Empresa,Negative,-0.320694237947464,0.320694237947464
AMP0005,56d6bddf5815b02b12d54a329d4d4b31a045aeb8a4dc9fa28ba8ef332c956d92,CAT7_Macro_Energia,Neutral,0.0,0.3295178413391113
AMP0006,069197440b397d7eae08b7c44d5a1ee811b78e0bb9deaf5a744225dcf3a821f4,CAT2_Mercado_Petroleo,Neutral,0.0,0.3274411559104919
AMP0007,e3f3c7aa289d1cfe6509f145adb079fa37cd3a4f0727ef4e8ed2f6c1a8931d5f,CAT7_Macro_Energia,Positive,0.3192314505577087,0.3192314505577087
AMP0008,8e846c0b62e995f36ee08a3e4c4d7a0223a70fe40d7462223e5187b482034509,CAT1_Empresa,Neutral,0.0,0.3296528458595276
AMP0009,33005433568fa17461fc3797efbc37d1690965aa5aeac305a349632c621a9354,CAT7_Macro_Energia,Negative,-0.3300654292106628,0.3300654292106628
AMP0010,6b93f09e0a4ac8eba66e5a31b94f4bb16084dcbb83a8fd59d21f2a554cf8c97d,CAT7_Macro_Energia,Neutral,0.0,0.3341326713562011
AMP0011,a54226e5e611e941c87a1576dd2a894b95ed46c908025098558f9713dd0d37ba,CAT3_Geopolitica,Neutral,0.0,0.3071570694446563
AMP0012,c07d4c0a817b7a8e32e8596438986160b7113174934c4b35b5fd0a04c540a0b1,CAT2_Mercado_Petroleo,Positive,0.3268742859363556,0.3268742859363556
